USER         PID COMMAND         COMMAND
zem        24839 code            /usr/share/code/code
zem        23238 gnome-shell     /usr/bin/gnome-shell
zem        25008 code            /usr/share/code/code --type=zygote
zem      1003552 feishu          /opt/bytedance/feishu/feishu --aha-process-t=aha-service --type=backend --task-jssdk-enabled --enable-backend-async-progress --no-proxy-server --enable-pre-read-liblark-dll --smc-metadata=8060927,3567190346139033028,8533153850170121387,20971520 --aha-multi-profile --enable-backend-async-progress --mojo-platform-channel-handle=3 --crashpad-client-sock=20
zem      1003693 feishu          /proc/self/exe --type=renderer --string-annotations --enable-crash-reporter=, --change-stack-guard-on-fork=enable --no-zygote --disable-gpu-compositing --indexeddb-idle-check-seconds=5 --scene=profile_main --enable-run-before-paint --enable-renderer-jank-monitor --enable-native-resource-code-cache --enable-shellapi-env-block --enable-shellapi-jsb-permission-no-http --enable-v8-callstack-check --enable-v8-callstack-check-block --lang=zh-CN --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1785329893492643 --browser-runtime --aha-multi-profile --launch-time-ticks=582857276055 --shared-files --field-trial-handle=3,i,4253896791838942466,17400404265925759005,262144 --variations-seed-version --smc-metadata=8060927,3567190346139033028,8533153850170121387,20971520 --enable-userns --enable-netns --crashpad-client-sock=24
zem      1171372 code            /usr/share/code/code --type=zygote
zem      4074988 claude          claude
zem      1003587 feishu          /proc/self/exe --type=utility --utility-sub-type=jash.mojom.JSRuntimeService --lang=zh-CN --service-sandbox-type=none --js-runtime-verify-shellapi=strict --enable-js-runtime-shared-string --enable-backend-async-progress --string-annotations --enable-crash-reporter=, --change-stack-guard-on-fork=enable --browser-runtime --aha-multi-profile --shared-files --field-trial-handle=3,i,4253896791838942466,17400404265925759005,262144 --variations-seed-version --smc-metadata=8060927,3567190346139033028,8533153850170121387,20971520 --crashpad-client-sock=22
zem      1003475 feishu          /usr/bin/bytedance-feishu-stable
zem      3040317 code            /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=24863 --enable-crash-reporter=011d6aa8-20f6-467f-ae54-aeb427934b8a,no_channel --user-data-dir=/home/zem/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,5003641075586410522,7547802077814267867,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709191524036425
